874 2871
421 280 252
756 790 381
309 7 652
514 345 540
42 797 655
745 829 462
679 568 15
162 425 580
870 196 425
243 495 375
421 473 914
743 82 803
571 515 59
874 157 477
370 210 15
248 99 734
102 327 448
739 248 465
761 127 785
802 445 691
664 502 453
703 348 175
123 351 619
142 742 199
152 542 501
45 647 716
575 731 763
391 523 472
317 561 486
453 653 432
530 650 196
484 856 549
539 267 829
654 687 621
274 233 784
449 785 306
423 5 77
273 327 651
490 9 832
663 70 191
296 669 893
698 713 817
599 583 525
666 866 440
305 203 623
770 90 619
600 455 626
467 601 380
565 348 192
461 766 785
683 871 683
502 809 425
140 259 254
266 480 720
761 310 349
219 254 816
249 409 801
116 513 602
242 303 901
95 554 388
575 113 629
561 322 316
78 537 936
23 691 852
686 325 134
693 364 765
866 424 363
723 70 817
733 275 986
195 725 732
556 351 324
59 483 532
94 59 899
269 675 985
744 478 125
51 151 128
431 530 183
425 296 366
843 668 191
93 321 676
639 571 72
611 561 460
320 605 44
140 855 126
358 418 844
572 556 778
667 863 571
866 65 305
103 677 76
684 387 812
654 390 833
456 217 952
158 423 138
367 807 852
360 508 692
831 797 746
1 325 166
691 332 843
756 738 534
161 167 417
367 468 749
131 362 67
424 605 380
793 355 435
579 847 894
26 436 928
559 337 645
611 257 296
283 664 207
735 198 919
158 257 285
574 381 712
284 333 637
421 422 676
546 416 70
518 95 724
225 507 1000
593 643 694
635 579 536
247 149 840
407 681 56
664 645 964
119 479 532
359 789 340
313 805 164
174 806 643
622 538 220
638 800 520
206 835 899
352 51 517
119 704 631
17 799 266
14 245 22
307 532 451
838 801 52
163 704 140
851 759 454
728 693 990
314 596 905
708 203 756
427 756 444
534 178 45
413 583 913
606 318 422
122 552 504
553 722 887
273 212 530
553 19 22
94 866 782
370 155 267
325 237 18
433 160 216
646 272 828
691 401 812
430 232 502
704 857 797
38 725 796
16 423 606
69 679 856
330 825 768
857 418 441
62 608 830
624 194 31
601 553 445
113 489 956
303 102 475
780 186 418
137 37 384
748 184 834
77 321 230
32 483 253
284 631 379
803 200 356
844 793 203
838 477 82
810 473 510
88 436 308
43 338 479
719 36 319
14 809 359
379 859 991
813 172 769
50 412 14
451 582 317
187 240 57
868 700 630
728 409 878
265 68 850
511 475 790
860 417 194
72 381 17
605 807 389
668 266 405
587 591 882
344 445 809
198 581 210
390 822 186
32 743 650
339 296 186
356 672 785
319 789 561
131 426 575
602 573 329
809 186 597
408 75 638
860 399 989
507 387 764
288 541 279
100 58 740
223 385 926
134 438 464
288 833 161
167 822 420
438 769 918
135 150 537
694 92 308
291 452 255
277 114 763
3 858 442
25 301 966
411 96 224
189 381 714
169 215 159
195 160 387
496 309 45
435 616 935
787 729 170
418 283 192
559 670 542
640 838 805
601 669 358
337 201 617
602 318 908
420 1 870
745 871 176
265 738 830
90 336 742
664 750 71
435 663 307
303 405 887
238 74 142
409 728 984
23 463 369
367 850 936
647 370 858
280 803 451
383 873 447
260 27 252
503 778 200
828 139 624
267 548 849
577 110 995
455 666 312
814 844 878
533 546 524
90 115 331
346 769 811
830 49 80
521 838 795
665 124 466
104 571 310
271 446 915
478 688 960
418 86 476
501 718 113
246 832 252
479 652 905
451 2 419
529 271 411
613 631 192
367 237 226
548 88 930
804 369 915
697 202 806
761 792 262
533 455 140
399 339 70
323 551 76
55 848 411
74 675 289
145 59 869
789 314 867
816 689 275
79 438 757
789 455 904
272 341 105
60 242 417
103 616 341
93 37 550
252 47 228
7 237 274
461 19 277
256 332 160
605 545 229
624 93 32
382 706 870
340 312 684
597 768 296
781 361 966
53 15 923
789 278 77
761 619 860
206 235 817
212 397 440
506 504 633
373 507 154
275 801 306
830 863 665
850 582 997
73 409 969
188 189 382
683 184 517
120 536 67
283 521 29
219 391 276
344 610 497
356 266 200
135 10 858
218 446 831
269 277 130
120 685 503
716 832 233
297 619 100
291 577 983
532 349 958
454 450 67
281 134 515
396 380 170
132 19 618
342 537 104
217 833 535
799 429 399
452 474 740
203 142 316
679 57 610
109 258 612
202 861 467
657 239 937
413 622 273
539 65 341
206 682 686
748 601 667
578 350 453
326 642 943
354 54 824
107 419 415
67 695 824
615 115 436
56 281 232
530 720 549
379 362 761
366 422 561
8 18 392
778 200 285
114 379 901
551 356 695
86 346 292
510 349 905
250 28 524
844 496 37
810 552 757
866 138 60
657 745 95
550 57 830
661 234 237
768 853 964
721 340 72
516 607 513
615 39 616
544 700 460
527 593 296
709 402 452
259 535 523
199 778 732
587 84 748
571 775 134
128 539 98
717 403 72
37 160 512
519 844 674
703 694 160
824 572 565
809 225 45
95 188 935
426 119 742
776 83 671
564 191 631
808 723 764
651 494 501
823 178 292
618 729 95
675 424 547
304 137 966
367 317 834
713 691 836
237 4 275
486 69 912
377 487 714
647 866 593
313 120 380
78 685 378
364 508 143
301 568 568
333 236 657
371 554 912
826 643 571
252 143 784
767 396 209
15 269 482
382 232 10
577 264 931
774 295 911
711 401 813
598 430 216
447 598 571
165 679 895
668 88 436
654 701 843
355 335 908
147 450 541
155 89 194
797 477 469
479 414 131
232 86 530
241 872 280
77 528 239
93 298 450
726 687 902
673 765 645
202 41 477
619 77 8
514 320 799
535 496 259
839 468 710
833 310 569
141 133 225
351 131 606
412 351 895
154 633 704
371 620 448
444 588 302
408 792 904
756 698 427
593 146 159
803 614 388
273 540 168
223 548 917
846 460 587
532 46 201
219 533 944
370 419 2
859 381 863
325 93 1
798 869 416
698 214 642
624 727 42
194 128 662
45 62 9
360 195 197
657 245 707
407 573 339
608 46 790
165 467 674
43 518 209
83 831 777
581 38 91
874 297 796
560 366 522
475 214 715
93 612 888
574 65 92
434 290 451
221 806 276
482 68 861
691 34 544
30 348 660
865 398 743
145 593 211
306 105 777
506 146 535
300 762 567
651 76 925
442 454 360
320 460 513
587 409 38
793 754 672
603 678 809
797 24 663
558 870 818
638 507 960
855 691 710
513 640 572
723 114 219
352 861 529
494 162 167
580 204 746
100 467 534
90 17 776
337 50 740
334 675 291
602 469 732
59 306 50
774 851 460
749 525 202
395 201 166
72 157 145
475 563 670
164 382 519
79 852 380
198 530 509
499 283 40
190 319 250
709 144 915
220 524 461
535 854 873
597 622 905
169 381 171
730 16 328
174 81 725
147 240 910
249 192 161
39 90 271
354 743 691
603 605 491
187 760 109
372 31 568
413 633 204
828 399 486
42 353 469
634 140 723
782 36 468
845 211 515
174 631 111
473 846 670
341 297 423
237 144 104
796 330 92
818 200 690
